Country,Year,Total renewable water resources per capita (m3/inhab/year)
Luxembourg,2024,5255.392073221932
Luxembourg,2025,5185.244453090742
Madagascar,2022,11377.405436987105
Madagascar,2023,11101.399920580789
Madagascar,2024,10826.565682125882
Madagascar,2025,10552.897751098397
Malawi,2022,846.4391611308378
Malawi,2023,824.107324530193
Malawi,2024,801.7940247086322
Malawi,2025,779.4992462795042
Malaysia,2022,17092.537577873336
Malaysia,2023,16912.27362495313
Malaysia,2024,16734.51032865398
Malaysia,2025,16559.2129993808
Maldives,2022,56.80804967244077
Maldives,2023,56.10210285088013
Maldives,2024,55.41286444058837
Maldives,2025,54.73993898542262
Mali,2022,5305.63130076951
Mali,2023,5133.29009193355
Mali,2024,4961.181634147
Mali,2025,4789.305613073832
Malta,2022,93.81202231319564
Malta,2023,91.75636016679584
Malta,2024,89.70427782891034
Malta,2025,87.65576906552396
Mauritania,2022,2407.411996710428
Mauritania,2023,2344.645537624464
Mauritania,2024,2281.920362788775
Mauritania,2025,2219.2364450489013
Mauritius,2022,2116.1080709763096
Mauritius,2023,2114.334361311513
Mauritius,2024,2112.5994972268863
Mauritius,2025,2110.902627974909
Mexico,2022,3627.4364773139177
Mexico,2023,3609.737870100159
Mexico,2024,3592.2779481957623
Mexico,2025,3575.053492665124
Mongolia,2022,10239.321439586049
Mongolia,2023,10086.594263073926
Mongolia,2024,9936.706756008838
Mongolia,2025,9789.60612017404
Morocco,2022,774.1576455121747
Morocco,2023,766.1679417953743
Morocco,2024,758.1956801132143
Morocco,2025,750.2408223886165
Mozambique,2022,6579.504842362802
Mozambique,2023,6391.756980674016
Mozambique,2024,6204.826930586123
Mozambique,2025,6018.711129790565
Myanmar,2022,21560.659349150326
Myanmar,2023,21415.07101422786
Myanmar,2024,21270.322883793582
Myanmar,2025,21126.4101089454
Namibia,2022,15519.55358052947
Namibia,2023,15266.833413319506
Namibia,2024,15015.592903403985
Namibia,2025,14765.82338750236
Nepal,2022,6838.5639558386465
Nepal,2023,6688.708636191521
Nepal,2024,6548.302440448169
Nepal,2025,6416.749554307445
New Zealand,2022,63256.69270386114
New Zealand,2023,62842.47634215057
New Zealand,2024,62491.88621363797
New Zealand,2025,62195.148929521776
Nicaragua,2022,23677.32897165049
Nicaragua,2023,23340.00206615653
Nicaragua,2024,23003.641552610046
Nicaragua,2025,22668.244662440316
Niger,2022,1298.3799067089867
Niger,2023,1248.4516614015488
Niger,2024,1198.5846833877988
Niger,2025,1148.778897486219
Nigeria,2022,1309.3558166528876
Nigeria,2023,1277.6019288887942
Nigeria,2024,1245.8733946033888
Nigeria,2025,1214.170193553516
North Macedonia,2022,3055.2394628369702
North Macedonia,2023,3065.5352299211154
North Macedonia,2024,3074.052647867428
North Macedonia,2025,3081.098884236147
Norway,2022,72650.7588460681
Norway,2023,72584.55084885233
Norway,2024,72533.77275440982
Norway,2025,72494.82859383037
Oman,2022,307.7779956978985
Oman,2023,306.26428821564195
Oman,2024,305.0735304181658
Oman,2025,304.1368209489515
Pakistan,2022,1046.8096634218705
Pakistan,2023,1027.1626370138256
Pakistan,2024,1007.6002234757105
Pakistan,2025,988.1220584094935
Panama,2022,31621.03796181607
Panama,2023,31248.303452547665
Panama,2024,30895.2793221795
Panama,2025,30560.92327645996
Papua New Guinea,2022,80514.68429831539
Papua New Guinea,2023,80507.0694670667
Papua New Guinea,2024,80514.68271893534
Papua New Guinea,2025,80507.07104611919
Paraguay,2022,57629.60916176575
Paraguay,2023,57456.10056050058
Paraguay,2024,57315.23245541818
Paraguay,2025,57200.864505444464
Peru,2022,55757.26322968261
Peru,2023,55754.833792665384
Peru,2024,55757.24902171089
Peru,2025,55754.84791754523
Philippines,2022,4147.504015871117
Philippines,2023,4089.018584425981
Philippines,2024,4030.712982218696
Philippines,2025,3972.586656315755
Poland,2022,1584.7991195319048
Poland,2023,1589.6276426769234
Poland,2024,1593.8796247018101
Poland,2025,1597.6239064618783
Portugal,2022,7533.636514112366
Portugal,2023,7542.144274434421
Portugal,2024,7548.254564790017
Portugal,2025,7552.642987455486
Puerto Rico,2022,2187.1285983486914
Puerto Rico,2023,2193.1835261854094
Puerto Rico,2024,2198.77425480656
Puerto Rico,2025,2203.936371904935
Qatar,2022,21.85869776440292
Qatar,2023,22.068706102404697
Qatar,2024,22.224437123305602
Qatar,2025,22.33991897084364
Romania,2022,11044.571163476334
Romania,2023,11118.316230708897
Romania,2024,11190.035074682297
Romania,2025,11259.78336801099
Russian Federation,2022,31192.182559743855
Russian Federation,2023,31190.374983051846
Russian Federation,2024,31191.131575811447
Russian Federation,2025,31190.814890712325
Rwanda,2022,964.8193004006936
Rwanda,2023,941.6818024280375
Rwanda,2024,918.5618393230666
Rwanda,2025,895.4593977968943
Sao Tome and Principe,2022,9572.927217101927
Sao Tome and Principe,2023,9377.584909157784
Sao Tome and Principe,2024,9185.029131253961
Sao Tome and Principe,2025,8995.2201339386
Saudi Arabia,2022,66.80573392550028
Saudi Arabia,2023,66.84359871672213
Saudi Arabia,2024,66.87405122823536
Saudi Arabia,2025,66.89854246211091
Senegal,2022,2248.7899718986914
Senegal,2023,2188.5252739435086
Senegal,2024,2128.303851420498
Senegal,2025,2068.1256732540364
Serbia,2022,22431.786920747723
Serbia,2023,22616.01868241352
Serbia,2024,22783.406886000503
Serbia,2025,22935.49146928156
Sierra Leone,2022,18582.053473333643
Sierra Leone,2023,18167.325411197933
Sierra Leone,2024,17756.70354108934
Sierra Leone,2025,17350.147207902737
Singapore,2022,100.54477608497008
Singapore,2023,100.10705761791507
Singapore,2024,99.67871809212102
Singapore,2025,99.25955654613485
Slovenia,2022,15033.023731212721
Slovenia,2023,15029.106362492925
Slovenia,2024,15025.435140400234
Slovenia,2025,15021.994598389025
Somalia,2022,834.7365001461905
Somalia,2023,808.2419096698776
Somalia,2024,781.8982838477475
Somalia,2025,755.704762491875
South Africa,2022,855.6813698651943
South Africa,2023,846.7725595000262
South Africa,2024,837.8644149167361
South Africa,2025,828.9569360655682
South Sudan,2022,4572.4101386068005
South Sudan,2023,4561.529568725182
South Sudan,2024,4557.940057384107
South Sudan,2025,4556.755873852556
Spain,2022,2343.6540208931833
Spain,2023,2340.529920780178
Spain,2024,2338.291505201445
Spain,2025,2336.687681981358
Sri Lanka,2022,2419.0295483876303
Sri Lanka,2023,2413.1196340720653
Sri Lanka,2024,2407.242770715638
Sri Lanka,2025,2401.3987734821826
Sub-Saharan Africa,2022,3305.691611048711
Sub-Saharan Africa,2023,3220.656851310119
Sub-Saharan Africa,2024,3135.7234079837012
Sub-Saharan Africa,2025,3050.891160353937
Sudan,2022,806.1282134405959
Sudan,2023,784.4365648427893
Sudan,2024,762.8335058313802
Sudan,2025,741.3186746028485
Suriname,2022,161504.10097577766
Suriname,2023,161504.76755381512
Suriname,2024,161504.10107531567
Suriname,2025,161504.76745429198
Sweden,2022,16467.826617802286
Sweden,2023,16312.763103967996
Sweden,2024,16158.327258922447
Sweden,2025,16004.516541976996
Switzerland,2022,6123.793226633057
Switzerland,2023,6092.719224552185
Switzerland,2024,6062.270930579788
Switzerland,2025,6032.435745417072
Syrian Arab Republic,2022,770.2907282561902
