Country,Year,Total renewable water resources per capita (m3/inhab/year),Water Stress Index (%),Population (%)
Brunei Darussalam,2015,20169.088143661,3.466465712,1.14093587780034
Brunei Darussalam,2016,19953.332676047,3.466465712,1.07549615845856
Brunei Darussalam,2017,19754.762059701,3.466465712,1.00016015852588
Brunei Darussalam,2018,19572.896374179,3.466465712,0.924880804854795
Brunei Darussalam,2019,19404.266199138,3.466465712,0.865282211615446
Brunei Darussalam,2020,19242.741524704,3.466465712,0.835902308961215
Brunei Darussalam,2021,19085.12639967,3.466465712,0.822461681539278
Bulgaria,2015,2914.114479277,41.609875083,-0.638069468160719
Bulgaria,2016,2939.562998768,42.05041023,-0.701382097841331
Bulgaria,2017,2965.570974049,41.821272821,-0.730443175298289
Bulgaria,2018,2992.652826561,40.099046493,-0.722080405222853
Bulgaria,2019,3020.191897038,40.076871905,-0.703905641117455
Bulgaria,2020,3051.936654404,37.519402764,-0.60024151846542
Bulgaria,2021,3093.291942279,37.519402764,-0.814846471528947
Burkina Faso,2015,721.230168641,7.820267686,2.97234560821631
Burkina Faso,2016,700.37100987,7.820267686,2.93481128912484
Burkina Faso,2017,680.58563436,7.820267686,2.86565542084027
Burkina Faso,2018,662.000851971,7.820267686,2.76868116258088
Burkina Faso,2019,644.340998812,7.820267686,2.70387556725288
Burkina Faso,2020,627.246879633,7.820267686,2.68878766730686
Burkina Faso,2021,610.840850484,7.820267686,2.65037591522147
Burundi,2015,1168.623757219,10.19286754,2.18870609045616
Burundi,2016,1149.740808471,10.19286754,1.62902475388378
Burundi,2017,1123.741248,10.19286754,2.28730144695888
Burundi,2018,1090.706098209,10.19286754,2.98382355303175
Burundi,2019,1055.677559559,10.19286754,3.26424857025887
Burundi,2020,1025.840191021,10.19286754,2.86708219532744
Burundi,2021,998.787925916,10.19286754,2.67247846179476
Cabo Verde,2015,543.314872701,37.28478363,1.1090565508692
Cabo Verde,2016,537.255056466,39.652858556,1.12160806985756
Cabo Verde,2017,531.016684544,42.020933482,1.16795054980192
Cabo Verde,2018,525.208245069,44.389008407,1.09986005170242
Cabo Verde,2019,519.903644525,48.95751,1.01513458042928
Cabo Verde,2020,514.897706989,68.943736667,0.96752416855618
Cabo Verde,2021,510.269166986,57.177506667,0.90298888332359
Cambodia,2015,30880.446878529,1.03654485,1.34979002036239
Cambodia,2016,30471.211265529,1.03654485,1.33408515743887
Cambodia,2017,30074.49644169,1.03654485,1.3104826630319
Cambodia,2018,29709.387155436,1.03654485,1.22144565921597
Cambodia,2019,29374.843361933,1.03654485,1.13244216195679
Cambodia,2020,29036.047145612,1.03654485,1.16005769739725
Cambodia,2021,28699.701001078,1.03654485,1.16513584860257
Cameroon,2015,12304.104447616,1.560430107,3.14758224896897
Cameroon,2016,11941.397533615,1.560430107,2.99217541611777
Cameroon,2017,11607.752182874,1.560430107,2.83379809494988
Cameroon,2018,11291.336950522,1.560430107,2.7637376380325
Cameroon,2019,10982.323133497,1.560430107,2.7748797807221
Cameroon,2020,10688.500626645,1.560430107,2.71185365793296
Cameroon,2021,10410.451586014,1.560430107,2.63581940586039
Canada,2015,81215.430618374,3.679711638,0.760300145238936
Canada,2016,80357.689743557,3.706642636,1.13153974027004
Canada,2017,79388.640716557,3.733573635,1.19543575451553
Canada,2018,78357.772299874,3.733573635,1.43322615679352
Canada,2019,77340.089371244,3.733573635,1.46171259938134
Canada,2020,76592.747099696,3.733573635,1.08436897113225
Canada,2021,76058.159803488,3.733573635,0.553902422386893
Central African Republic,2015,29257.160690079,0.335648148,0.428340361843656
Central African Republic,2016,28751.00144224,0.335648148,1.74517542237586
Central African Republic,2017,28218.392748393,0.335648148,1.86986089522388
Central African Republic,2018,27675.385394463,0.335648148,1.94305862344608
Central African Republic,2019,27066.851668278,0.335648148,2.22336107125156
Central African Republic,2020,26389.56994359,0.335648148,2.5340939316943
Central African Republic,2021,25837.643577586,0.335648148,2.11363722558977
Chad,2015,3231.903427048,4.294921875,3.18410081276683
Chad,2016,3131.727517777,4.294921875,3.14864850561675
Chad,2017,3029.321980734,4.294921875,3.32459491646661
Chad,2018,2928.696806823,4.294921875,3.37812774879537
Chad,2019,2833.780599405,4.294921875,3.29458272753979
Chad,2020,2745.618560526,4.294921875,3.16053305963688
Chad,2021,2660.110106439,4.294921875,3.16388750517031
Chile,2015,51653.810572327,8.982121089,1.02942555374852
Chile,2016,51043.252390707,8.982121089,1.18906102612278
Chile,2017,50252.123504178,8.982121089,1.56205545588869
Chile,2018,49357.670127183,8.982121089,1.79596279901203
Chile,2019,48481.353355934,8.982121089,1.7913919716665
